ds,yhat,yhat_lower,yhat_upper,segment_type,segment_name
2022-03-11,16829.33685200472,12719.669403473463,20725.631588862434,brand,Crust Co.
2022-03-12,20267.713435959213,16403.324782753865,24341.746764443218,brand,Crust Co.
2022-03-13,26317.27511042337,22304.28410407699,29994.486854262686,brand,Crust Co.
2022-03-14,14020.15232080756,10058.401803886178,17987.86264812659,brand,Crust Co.
2022-03-15,22075.272443107475,18130.358342219613,25988.7059762723,brand,Crust Co.
2022-03-16,14494.69707552147,10739.05427703905,18555.727824105077,brand,Crust Co.
2022-03-17,16420.87460648062,12552.621872748188,20205.884176980795,brand,Crust Co.
2022-03-18,16325.984162791185,12479.262226716353,20365.69846049038,brand,Crust Co.
2022-03-19,19695.609634871314,15595.170157021419,23769.85316134601,brand,Crust Co.
2022-03-20,25681.730454489094,21596.111670189843,29612.118392195105,brand,Crust Co.
2022-03-21,13328.398641773325,9657.14637880304,17273.050435495785,brand,Crust Co.
2022-03-22,21336.262179449117,17459.634439731864,25165.987271646594,brand,Crust Co.
2022-03-23,13718.850268210741,9711.713591767782,17899.543259840975,brand,Crust Co.
2022-03-24,15619.782237791853,11740.479627632692,19657.92217662295,brand,Crust Co.
2022-03-25,15512.077464412883,11668.768604506273,19482.78058672586,brand,Crust Co.
2022-03-26,18881.805928723446,14718.934373208062,22421.68573590857,brand,Crust Co.
2022-03-27,24881.06669212086,21083.861439742846,28881.891547307492,brand,Crust Co.
2022-03-28,12553.664062841017,8543.809469576077,16331.694344507141,brand,Crust Co.
2022-03-29,20599.64141121976,16682.978925522006,24367.910687171887,brand,Crust Co.
2022-03-30,13031.587742899856,9092.468611674922,17075.067295221943,brand,Crust Co.
2022-03-31,14991.878031810633,11290.586058492901,19223.803607061633,brand,Crust Co.
2022-01-01,9322.996939271721,7555.38183770358,11330.31950575113,brand,Flame & Feather
2022-01-02,11416.301264544745,9653.417941532894,13212.4146027345,brand,Flame & Feather
2022-01-03,6853.459158109963,5037.626319520354,8770.835831467986,brand,Flame & Feather
2022-01-04,6695.197806219275,4772.639687690224,8517.06721170156,brand,Flame & Feather
2022-01-05,6523.302165588379,4787.62249199621,8408.178620059829,brand,Flame & Feather
2022-01-06,6265.525042311407,4541.092938763982,8064.246348623277,brand,Flame & Feather
2022-01-07,6689.13001978617,4984.946253681032,8612.103246620236,brand,Flame & Feather
2022-01-08,8149.6322615418285,6314.515069020337,10100.550211097621,brand,Flame & Feather
2022-01-09,10207.939000324559,8434.028647903404,12043.400713955969,brand,Flame & Feather
2022-01-10,5629.863138451688,3761.073015759215,7415.772283370484,brand,Flame & Feather
2022-01-11,5476.0752852902315,3570.6921767736217,7209.404017177518,brand,Flame & Feather
2022-01-12,5327.862216950694,3452.1837274470913,7118.211280861692,brand,Flame & Feather
2022-01-13,5112.054978444001,3347.165571815013,6950.394015882901,brand,Flame & Feather
2022-01-14,5594.600480636753,3881.1655384902815,7487.025318912852,brand,Flame & Feather
2022-01-15,7129.340785725873,5388.4279146705985,8924.827733813696,brand,Flame & Feather
2022-01-16,9275.20080000202,7495.251148690329,10998.115109737546,brand,Flame & Feather
2022-01-17,4795.756475878214,2935.2511544928598,6660.316254400839,brand,Flame & Feather
2022-01-18,4749.247333322977,2935.456759934776,6403.0949040982005,brand,Flame & Feather
2022-01-19,4714.399619388356,2915.6576240561744,6658.641241188599,brand,Flame & Feather
2022-01-20,4615.421555586096,2836.875811059162,6400.126858065009,brand,Flame & Feather
2022-01-21,5215.642699564138,3462.3046553357894,7098.000115426994,brand,Flame & Feather
2022-01-22,6866.359785049624,5022.027066618599,8717.575739016731,brand,Flame & Feather
2022-01-23,9124.087974462132,7301.559981849449,10953.785516487582,brand,Flame & Feather
2022-01-24,4750.187937579416,2908.7205644103988,6540.183797768136,brand,Flame & Feather
2022-01-25,4800.931018544043,2922.716087289968,6418.634535995789,brand,Flame & Feather
